Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
70,9827084,10064833,9881471,7063237,10707880,9966722,9781841,10058029,9228887,NaN,NaN,NaN,8939403,10262201,9359525,10714721,9441549,NaN,10176403,8200649,10370143,9529089,NaN,11002014,10144004,11654916,NaN,10566509,9244152,NaN,10672816,10404726,10012787,NaN,9804752,10410820,NaN
71,37028078,37620596,NaN,NaN,41538116,40607580,41626374,10795867,19524365,127718004,NaN,20927601,44833051,37982434,43286706,8172858,NaN,56136680,59487158,NaN,40194831,7526350,73988491,28026864,NaN,NaN,102184685,37738416,NaN,8454661,3471346,11223134,71134143,30914759,36784424,35923864,NaN
72,39474805,41491927,40798860,NaN,45731380,44778777,46531244,64506249,NaN,NaN,NaN,NaN,NaN,46567532,NaN,NaN,53889936,NaN,44740205,67221239,NaN,46756936,NaN,37697747,NaN,75210993,NaN,39810327,NaN,NaN,53587439,NaN,35119599,NaN,35959630,37248924,NaN
73,4761951,4503389,4538574,NaN,4397978,4219658,4702978,4065072,4118267,4772502,5070442,4410590,4144826,4478530,4436391,4783003,4954738,4994741,4606138,3786741,4097447,4692779,4587100,4160827,4667665,3752316,4656325,3907995,4806989,4791101,3946890,5047981,4782987,4448511,4007306,4116818,3856034
74,1981464,1851107,1951642,NaN,2183619,2474072,1964352,2316704,2187834,2261358,2175524,2354464,2037689,2542017,2475628,2370022,2120226,2039438,2476421,2496991,1998333,2096542,2319603,2116602,2112382,2277571,2628810,2418633,1760299,1856091,2209884,2161830,2032234,2021735,2039846,2223458,NaN
75,1239819,1022971,1029974,NaN,1149236,1291395,1018570,NaN,1138893,1118049,NaN,NaN,1064863,985682,1007624,1099704,1089392,1110942,1196641,NaN,974815,1098192,NaN,1043893,NaN,NaN,NaN,932620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,4597798,4051786,NaN,NaN,4224585,NaN,3773416,NaN,3683796,4776899,NaN,7010546,3966919,4832678,2909342,2875735,NaN,2925549,1758253,NaN,NaN,3802491,5857052,NaN,NaN,NaN,6727495,NaN,4703377,NaN,2427885,3463229,3951571,6122278,3694146,4155103,NaN
77,353770486,370797773,349934323,NaN,371217267,357222940,380999254,364139151,358331247,336865668,258161255,195842447,300806562,360634078,318757070,328768376,350702941,393233621,357449353,339302242,396007680,308372750,199071645,331406239,452014323,387389555,234081254,379902311,603979557,249648030,373505623,371960372,356222503,618168649,436559272,388076102,NaN
78,6337127,6891326,7725830,NaN,6638041,7125900,7455156,9740800,5270080,6507837,6408045,9179676,6514114,7200685,8168247,7010143,10926099,NaN,5201952,10741846,7979954,7986360,6480944,6857494,7767151,9557910,13148146,7552673,10728684,8394214,8523028,12378982,6324931,7251289,8890282,7604883,NaN
79,5055757,5153004,5223256,NaN,5771516,5168127,5225043,6557978,3669895,6694587,8956732,4899572,8383207,5405720,7532948,5856763,4045750,5057587,4697784,4646462,5430473,3212940,6403782,4053995,9580497,NaN,5464147,5519954,3580181,4062374,3372608,4888267,4344210,11206540,5103484,5063237,NaN
80,7884526,8435388,7646245,NaN,8027645,8909125,8594432,9892374,7306459,7459374,477824112,9607277,7284271,8432887,10050307,7469255,376837089,7323636,6743011,386307106,9314038,10229388,10550349,7604881,403895877,400458890,15985072,9796382,14377766,419894777,10322735,8215457,7032628,9744642,9723470,9313792,NaN
81,12501641,12485712,12759645,NaN,12781337,14217381,13689460,19692169,10650582,8598148,10280522,3433155,6825228,12941709,4547800,6297753,14720373,4253086,7971910,17806712,12871867,13566716,NaN,6841897,16274360,29177674,9801931,12827324,9882882,6244096,17964234,10060822,9470455,14849562,12010526,11870185,NaN
82,8666526,9271258,8573348,9789855,9543196,8825584,9858047,14620906,17808901,9649231,18977691,63752327,13738434,8981472,14037368,12242429,21233981,8553408,6327528,17038752,10366809,9275774,15928633,10937120,25013086,14256995,27767370,9289740,18920913,21254041,17908234,19129712,12207835,15448431,10550824,9316590,11889091
83,17596143,17998717,17777930,NaN,19188953,18419716,19799340,17618284,18313788,16206213,28796820,20309370,14462000,18832492,16343103,17364199,17779676,11420432,19206698,20897302,20255293,18072280,27058858,18242021,21579869,20217852,23097287,20148462,25054277,21470537,21228857,17043638,19123818,22958181,21654376,19686241,NaN
84,5419179,5366178,5472713,NaN,5668366,5705622,5604952,8863367,3775763,3895484,5166696,4632964,3469155,5744415,4285105,4137725,7025192,4359794,3399141,6883905,6061093,5599555,4699874,4164665,7068107,8049212,8446744,5607932,8642118,8659245,6898436,5114293,4459697,5662148,6187725,5608723,NaN
85,1131207826,1177410009,1179292076,NaN,1220645622,1164883976,1211662260,1837966465,883269624,869146182,943645494,831341537,791943236,1150142296,956347892,838892247,1445279728,922500694,766821199,1605662593,1205025918,1273614026,1165011647,887246073,1199160289,1809598571,1595424254,1131045296,1785707079,1791385631,1440440378,1067841534,990615235,1184184647,1235137932,1116812730,6726787
